WordA,WordB,Sentence,reading_times_alpha,reading_times_nonalpha
being,existence,The girl questioned her X and Y when she went to her last therapy session.,-51.16528272628784,-50.73483610153198
radar,radio,The soldiers used X and Y to plan their next moves.,-48.590792179107666,-48.0688738822937
humility,pride,It is hard to have both X and Y when one is rich and famous.,-50.62167692184448,-51.77810525894165
pitch,volume,Musicians pride themselves on being able to adjust X and Y in order to produce art.,-46.21831655502319,-46.03970003128052
skirt,sweater,Clarissa chose the X and Y she would wear for her first day of school.,-49.595521450042725,-49.33729839324951
linen,silk,Betthany put her X and Y shirts into the wash and they all shrank.,-47.79900884628296,-47.41037464141846
checks,money,Graham disliked handling X and Y so he decided not to run for treasurer of the club.,-54.391090393066406,-54.92822456359863
calluses,corns,The grandmother had a lot of X and Y on her feet which made it difficult to walk.,-50.84327983856201,-53.28998947143555
action,motion,All of the X and Y in the 3D film made some viewers dizzy.,-40.71670079231262,-40.67298126220703
brain,intelligence,The committee admired the applicant's X and Y so much that they decided to award her the prize.,-58.1321325302124,-60.44523906707764
conduct,manners,"At a job interview, your X and Y can matter as much as your qualifications.",-55.18888473510742,-55.18439340591431
completeness,unity,I often feel a sense of X and Y after completing a tedious group project.,-54.176292419433594,-59.40832185745239
hostility,indifference,A lot of people feel X and Y from large bureaucratic institutions.,-58.73810005187988,-60.40348148345947
depth,force,The newspaper reported on the X and Y of the earthquake that had surprised the city the night before.,-48.170023918151855,-50.492894649505615
hours,miles,It takes many X and Y to drive between Los Angeles and Santa Barbara.,-49.27991962432861,-49.54427766799927
movements,speech,Natalie studied the X and Y of young children in her development psychology class.,-52.48029327392578,-50.963908195495605
schools,synagogues,There are some places that have X and Y within the same vicinity.,-59.83152484893799,-59.648674964904785
arrangers,composers,The work of many X and Y went into producing the soundtrack.,-54.45734786987305,-57.280473709106445
happiness,laughter,"When you are with the one you love, X and Y should be common occurences.",-57.682297706604004,-58.41707897186279
diagrams,sketches,The architect had many X and Y to show her client.,-50.90332794189453,-49.96984338760376
pail,shovel,Cassie's parents packed the X and Y in order to be able to build sand castles at the beach.,-16.058869130909443,-12.966477066278458
candies,cookies,Stephen's parents banned X and Y from the house because he kept getting cavities.,-46.593350887298584,-46.0509352684021
county,village,The nearby X and Y faced constant threats from their neighbhors.,-54.79221487045288,-54.92682409286499
charm,variety,Anthony missed the X and Y of living in a big city.,-48.856791973114014,-49.54128837585449
bouquets,wreaths,"At certain times of year, X and Y are often gifted to neighbors as tokens of appreciation.",-6.479050239388016,-7.566912112823047
beech,elm,"During the spring, X and Y trees can to cause some people severe allergies.",-48.55208921432495,-49.60334396362305
complexity,obscurity,The student found that the X and Y of her research topic made the project difficult.,-54.99725294113159,-55.84390640258789
devotion,effort,The intern was praised for her X and Y after the big event went off without a hitch.,-54.69579458236694,-52.85005760192871
alibis,excuses,The student was always full of X and Y for why she didn't come to class.,-54.563162326812744,-54.10828351974487
body,mind,She talked about the importance of keeping your X and Y super healthy and strong.,-51.91668128967285,-52.502052307128906
man,woman,He noticed that both the X and Y had green sneakers on.,-50.000558853149414,-49.008161544799805
law,order,There was a lack of X and Y that caused some chaos.,-51.01449012756348,-51.026785373687744
cause,effect,"Ryan was uncertain about the X and Y of inflation, so he did some research about it online.",-54.09570121765137,-53.401079177856445
radio,television,Tania wanted to work in both X and Y and couldn't decide which she liked more.,-52.005815505981445,-52.025028228759766
feet,hands,The child's X and Y were numb from playing in the snow.,-49.265769958496094,-49.648547649383545
money,time,The amount of X and Y required to fix up the old car made it quite the project.,-50.5652494430542,-50.63685846328735
blood,flesh,Although Rhonda was not Nick's X and Y he considered her part of his family.,-52.26321220397949,-50.72534132003784
god,man,The friends had a discussion about the relationship between X and Y after school last week.,-52.64804029464722,-50.063817501068115
brother,sister,Paul wants to spend time with his X and Y because he doesn't get to see them very often.,-54.76098108291626,-56.973572731018066
father,son,Eric enjoys going to the movies with his X and Y so much that he decided to make it a weekly tradition for them.,-21.563950270414352,-21.131255358457565
men,officers,Nicole's history textbook listed an estimate of the number of X and Y who died during the civil war.,-27.560386538505554,-24.64125633239746
south,west,"The compass was broken, so it would only point to X and Y instead of all four directions.",-56.2982873916626,-56.329219818115234
error,trial,They dealt with a lot of X and Y before having a final product.,-52.9055233001709,-53.02091884613037
arts,crafts,Lilly enjoys doing X and Y to relax when she is stressed.,-48.64996528625488,-49.145005226135254
pressure,temperature,He learned about the relationship between X and Y in his science class.,-48.351789474487305,-48.80128288269043
days,nights,Finn spent many X and Y working on writing his novel.,-47.960111141204834,-47.68116474151611
land,sea,They had to travel across X and Y to get to their final destination.,-41.264047622680664,-42.76846933364868
north,west,The boat sailed X and Y to get to its destination.,-43.17635250091553,-43.98616075515747
spring,summer,Maddy said that X and Y are her favorite seasons.,-52.83437156677246,-52.810978412628174
magazines,newspapers,Anna has written articles for many X and Y throughout her career as a journalist.,-58.33912515640259,-53.422786712646484
hands,knees,Chris had to get on his X and Y to look for the button that fell off his shirt.,-24.316793903708458,-29.510722398757935
moon,sun,Rebecca got a X and Y tattooed on her left arm.,-51.73390293121338,-51.69882822036743
fathers,mothers,The community center had summer camps for X and Y to send their kids to while they worked.,-12.8940427841153,-11.287211255170405
city,county,The meeting had representatives from both the X and Y to discuss policy changes.,-54.46324634552002,-54.103875160217285
ears,eyes,"Cleo said that her X and Y were bothering her, so she stayed home from work.",-57.53962469100952,-57.2494797706604
college,school,Matt said that X and Y are not worth his time.,-51.759530544281006,-51.065754413604736
college,university,Carlos talked about X and Y with his school counselor.,-52.59338140487671,-52.50387763977051
dark,light,Johanna thought the contrast between X and Y colors in the painting made it interesting to look at.,-39.922138690948486,-35.4127721786499
future,past,Jazmin wanted to talk about the X and Y of the company she was interviewing for.,-36.31576132774353,-32.24624443054199
evening,morning,Victor plans on spending tomorrow X and Y reading the new book he bought.,-48.11869144439697,-46.41165018081665
ice,snow,All of the X and Y outside made Luis want to stay in all day.,-57.02514457702637,-56.787827491760254
husbands,wives,The counselor met with many X and Y throughout his long career.,-51.947972774505615,-53.316994190216064
boys,men,There were a lot of X and Y at the park today.,-46.59343194961548,-45.41805171966553
bread,butter,Brent likes to eat X and Y for breakfast when he doesn't have a lot of time in the morning.,-14.976528671570122,-17.41826856136322
head,shoulders,The doctor looked at Ashley's X and Y because she said that both were bothering her.,-52.68777370452881,-54.31035757064819
rock,roll,He said he was ready to X and Y after getting off of work.,-51.91495227813721,-52.866581439971924
testament,will,Louis discussed his X and Y with his lawyer last week.,-47.84438943862915,-50.08026885986328
engineers,scientists,There were a good number of X and Y present at the conference.,-46.435080766677856,-39.32989573478699
man,wife,I learned that the X and Y got married after dating for 5 years.,-31.27849769592285,-37.067198276519775
arms,hands,Both Chelsea's X and Y are scraped up from falling off her bike.,-25.899162650108337,-24.668536901474
math,science,Ricky discovered that X and Y are his favorite subjects in school.,-56.01182985305786,-54.791812896728516
son,wife,Roman lives with his X and Y in an apartment downtown.,-46.59342861175537,-46.540462017059326
fingers,thumb,Demi broke her X and Y when she fell while roller skating.,-61.94379138946533,-62.183149337768555
flesh,skin,Cory explained the difference between X and Y to his little brother.,-60.90183877944946,-60.89145803451538
life,religion,Jenny talked about X and Y with her brother and sister.,-49.17602872848511,-47.09107685089111
conscience,religion,Bree is reading a book about the relationship between X and Y in her book club.,-29.141760736703873,-29.57589614391327
pain,pressure,Jeremy felt X and Y in his chest that concerned him.,-46.18667650222778,-47.834168910980225
integrity,unity,India thought that there was a lack of X and Y amongst her friend group.,-67.67370700836182,-68.38425922393799
flowers,hearts,Craig drew X and Y on the card he was making for his mom.,-50.21390342712402,-48.31730651855469
grapefruit,oranges,Kyle liked to keep X and Y in a bowl on his kitchen counter.,-8.454891237663105,-6.833436841145158
folklore,legend,Mandy read about the X and Y surrounding King Arthur in her new book.,-18.229219446890056,-24.34844786580652
doctors,fathers,There were many X and Y in the same room.,-42.055583238601685,-45.1757435798645
contraction,dilation,Anna was confused about the difference between X and Y so she talked to her doctor about it.,-14.806820929050446,-15.509359493851662
ships,weapons,There are too many X and Y according to Jack's uncle.,-50.02309799194336,-48.32653570175171
funnels,masts,They noticed that the X and Y on the ship were broken.,-42.053444385528564,-39.982285499572754
law,sovereignty,They discussed both X and Y in their political science class.,-51.59463548660278,-45.52111053466797
assurance,dignity,Richard tried to portray X and Y at work but didn't know if he succeeded.,-18.4686545683071,-18.331629738211632
mr.,mrs.,The couple call each other X and Y Smith even though they aren't married.,-6.825835223309696,-8.287045687437057
bride,groom,I think that the X and Y are very excited about the upcoming wedding.,-11.570708823390305,-10.887632514350116
feet,legs,The soccer player injured their X and Y during a very intense game.,-49.40693140029907,-49.0979118347168
peace,quiet,The students reserved a spot in the library for some X and Y to study for their upcoming exams.,-10.16215867549181,-16.213176131248474
daughter,son,"With the holidays approaching, the X and Y needed to shop for presents for their parents.",-32.389760851860046,-30.95531517267227
ends,odds,"The new restaurant was almost ready for the grand opening, but had a few X and Y to deal with before the big night.",-28.81652644276619,-12.678119868971407
city,state,He liked his X and Y too much to move away.,-48.889265060424805,-48.78021049499512
facts,figures,Lauren needed to get her X and Y straight before her business plan presentation.,-48.037596702575684,-48.86809587478638
man,nature,Harry wanted to talk about how X and Y interact in today's society.,-51.83159685134888,-53.72126579284668
prose,verse,They discussed differences between X and Y in her writing class.,-49.45804309844971,-50.30760383605957
body,head,"When drawing people, Suzanne struggles with sketching the X and Y because she can never get the proportions right.",-17.121837615966797,-15.005648255348206
command,control,The eldest sibling wanted to X and Y all of their younger siblings.,-49.026955127716064,-48.39332628250122
child,wife,Bill wanted to take his X and Y on a tropical vacation.,-51.69885301589966,-51.83488845825195
aunt,uncle,"Over the summer, Steve stayed with his X and Y at their vacation home near the beach.
",-19.98581488803029,-14.64293847978115
cattle,horses,"On the ranch, there are X and Y roaming around the green pastures.",-60.401079177856445,-60.45595741271973
politics,religion,The strangers wanted to avoid discussing X and Y to avoid starting an argument.,-54.4243106842041,-55.08623456954956
July,June,Max was planning to take off X and Y from work so he could travel through Asia.,-48.23817825317383,-47.82316780090332
sailors,soldiers,"The little boy thought X and Y were cool, so he liked to dress up as them for Halloween.",-20.201727032661438,-15.779894817620516
English,German,The school held classes in both X and Y so the students could be bilingual.,-48.80433177947998,-48.80384922027588
food,shelter,The stray dog searched for X and Y while running through the streets.,-48.7973198890686,-50.234108448028564
sights,sounds,"While traveling, Kim wanted to experience the X and Y of the city she was visiting.",-35.1184344291687,-29.738539934158325
comings,goings,The school newspaper reported on the X and Y of the student body.,-43.94685888290405,-45.94091176986694
heir,son,The king's X and Y went missing after the battle.,-51.389930725097656,-51.55395841598511
coat,hat,"Once she stepped through the door, she designated a spot for her X and Y to be safely put away.",-28.992340087890625,-27.77485728263855
crime,punishment,The jury needed to consider the X and Y before coming to a final decision.,-59.20370674133301,-59.54838848114014
earth,sky,Talking about the X and Y was one of Randy's favorite things to do.,-42.33585453033447,-43.11108636856079
faith,love,He wrote songs about X and Y that he hoped to record for his next album.,-50.669193267822266,-51.862916469573975
mother,son,Jack spent more time with his X and Y than any other family member.,-50.19265031814575,-51.245399475097656
cents,dollars,The boy brought his X and Y to the store to buy an ice cream cone.,-47.425532817840576,-44.0055513381958
turns,twists,The movie had many different X and Y that left the audience on the edge of their seats.,-58.16309833526611,-57.209468841552734
fire,police,Both the X and Y departments put on a barbeque for the community.,-55.25694990158081,-55.655293464660645
months,years,"After many tiring X and Y, the author finally published their book.",-39.76911211013794,-40.943315267562866
editor,publisher,"In order to finalize all the details, the X and Y wanted to have a meeting with the author of the book.",-20.268562806770205,-20.43417291343212
aunts,uncles,The family reunion had all the X and Y together in one room.,-45.74278163909912,-46.17539882659912
research,training,The surgeon had to do a lot of X and Y before attempting the risky procedure.,-57.842183113098145,-59.825151443481445
eyes,hair,"In order to make your X and Y stand out, you should choose an appropriate outfit.",-53.92758345603943,-52.301034927368164
methods,principles,She didn't agree with the company's X and Y so she made her opinion known.,-49.21179723739624,-45.39435005187988
city,country,Her love for her X and Y made her want to get into politics.,-48.358595848083496,-48.02600622177124
bread,cheese,Xavier brought X and Y to the potluck at the beach.,-43.74113440513611,-44.631956577301025
location,size,The couple told the realtor that X and Y are the most important criteria for picking a house.,-34.37177062034607,-34.596652030944824
childhood,infancy,The students watched a video on X and Y in their human development class.,-50.267967224121094,-49.934210777282715
morning,night,Kevin worked both X and Y shifts as an ER nurse.,-49.233256816864014,-50.16041660308838
council,governor,She wanted to meet with both the X and Y to discuss some ideas she had.,-56.882723808288574,-58.07921504974365
age,day,Amanda said that in this X and Y you need to be tech-savy.,-52.92588520050049,-52.42268514633179
body,face,"After visiting many stores, Ann finally found a X and Y sunscreen that worked well for her skin.",-35.91300916671753,-37.05642557144165
hair,skin,The doctor recommended X and Y supplements to some of her patients.,-50.50857400894165,-50.92798614501953
nitrogen,oxygen,The atmosphere is composed of X and Y as well as other elements.,-49.23009490966797,-50.25397491455078
piano,violin,Alex loved to play the X and Y so they took lessons for both instruments.,-55.54627561569214,-54.28928756713867
ceiling,walls,The painter finished painting the X and Y of all of the bedrooms.,-45.436983585357666,-45.19714403152466
color,texture,Sarah was known for the X and Y she used in her paintings.,-48.63136339187622,-47.98246669769287
everybody,everything,Noah loved X and Y in his college town.,-60.19132328033447,-60.333913803100586
bacon,eggs,"On the days Lilly doesn't have work, she makes X and Y for breakfast and reads the paper.",-5.996386393904686,-7.163023546221666
paper,pen,"Even though most people use computers, I prefer to use X and Y to take my notes in class.",-42.18414258956909,-42.10105228424072
concrete,steel,The company got a new shipment of X and Y for an upcoming project.,-51.01916694641113,-50.94536828994751
color,light,Rob used a lot of X and Y to make his photographs pop.,-44.63070106506348,-44.12361812591553
friends,relations,Ciara had many X and Y so she was rarely lonely.,-52.03024339675903,-50.72112274169922
boots,shoes,My suitcase was full of X and Y which made it exceed the weight limit.,-33.48161768913269,-33.31646013259888
hearing,sight,His grandma lost her X and Y so she needed to live in a nursing home.,-44.42907190322876,-41.350242614746094
expense,time,He said that the X and Y of maintaining the property was too much.,-47.81001853942871,-50.768548011779785
flowers,plants,All of the X and Y in the Arboretum made it a popular spot for walks.,-22.424370288848877,-23.695300817489624
beauty,truth,I decided that X and Y would be the major themes of the poem I was writing.,-46.02514624595642,-49.90316867828369
bone,flesh,"After a hard fall, you could see the X and Y of the basketball player's leg.",-21.712342262268066,-16.965617261826992
doubts,fears,"She wanted to be a pop star, but her X and Y got in the way of her dream.",-6.863655589520931,-9.075994692277163
light,sound,The exhibit used X and Y to create an attention-grabbing experience.,-49.43924617767334,-48.978352546691895
beauty,youth,The serum promised X and Y to everyone who used it.,-54.2567081451416,-53.53542351722717
fiction,poetry,Maddy liked to read X and Y in her spare time.,-51.63820171356201,-51.10400342941284
needle,thread,He needed a X and Y to fix the hole in his shirt.,-48.51514434814453,-47.35233116149902
back,shoulders,Anthony got his X and Y adjusted by the chiropractor.,-50.1481351852417,-49.29333209991455
crime,violence,The frequent X and Y in the neighborhood had people worried.,-47.499878883361816,-47.07512855529785
force,violence,They didn't like how he used X and Y to get his way.,-52.41019105911255,-52.07390880584717
eggs,ham,All she wanted to eat was X and Y but she didn't have either item in her refrigerator.,-20.8271427154541,-17.23991596698761
bone,muscle,The doctor studied the X and Y of the patient's injured leg.,-36.266597747802734,-33.551602840423584
debate,discussion,"During class, there was X and Y surrounding the controversial current event.",-53.77384090423584,-53.98729610443115
errors,omissions,Rebecca went over the X and Y that occurred in the paper.,-58.43135976791382,-58.68244791030884
brother,mother,Last week my X and Y came to visit me in my new apartment.,-50.52988815307617,-50.86953592300415
face,figure,The model's X and Y was highlighted in the magazine spread.,-50.50946283340454,-49.73171138763428
chairs,table,The event planner fixed the X and Y to accommodate all of the wedding guests.,-16.14465892314911,-14.12023632787168
ammunition,guns,The old man kept X and Y locked away in his basement in case of a zombie invasion.,-10.961588156409562,-8.359127948060632
Concord,Lexington,He used to live in both X and Y when he was a teenager.,-38.37539076805115,-32.99751341342926
ice,water,The kids went all over town to find X and Y since their air conditioner was broken.,-42.29039239883423,-41.63388752937317
fun,games,Sally promised that there would be X and Y at her birthday party.,-50.521514892578125,-50.38425970077515
breakfast,dinner,Molly decided that X and Y are her favorite meals of the day.,-51.10855960845947,-51.23831081390381
comfort,ease,"Her parents liked the X and Y of flying, so they flew to their friend's wedding.",-29.803352534770966,-28.38823628425598
father,uncle,She took her X and Y out to dinner to celebrate their birthdays.,-48.88815450668335,-49.08905553817749
health,spirits,In order to improve their X and Y the couple decided to go for long daily walks.,-58.390361309051514,-59.72194290161133
names,numbers,The host asked for both the X and Y of the people who wanted to make reservations.,-28.831034660339355,-29.508134603500366
rights,wrongs,She considered the X and Y of the situation before moving forward.,-43.80506467819214,-42.74815607070923
crannies,nooks,He made sure to dust all of the X and Y throughout the old house.,-35.797542572021484,-30.73040020465851
power,resources,The business had the X and Y to create a multi-million dollar company.,-46.864365577697754,-47.149067878723145
flame,smoke,"He noticed the X and Y coming from his neighbor's house, so he called the fire department.",-18.318133175373077,-14.058501541614532
faith,life,He wanted to write a book about X and Y using many personal stories.,-56.07436752319336,-56.83390188217163
wisdom,wit,Clare believed she gained a lot of X and Y throughout her time in college.,-59.386473178863525,-59.20623970031738
novelist,poet,Lydia is a successful X and Y and is praised for her writing style.,-49.67492151260376,-46.499640703201294
Arizona,California,The high school students visited both X and Y to tour colleges before they applied.,-52.16837024688721,-51.777103424072266
crops,livestock,All of the X and Y needed a lot of water to survive.,-49.73802900314331,-49.656394958496094
glass,steel,The architect wanted the building to have a lot of X and Y to make it look sleek and modern.,-13.070239424705505,-13.100665032863617
bar,grill,We went to a X and Y in the city last night.,-45.11025142669678,-45.04976844787598
influence,prestige,The doctor's X and Y made her popular with patients.,-55.21281719207764,-53.66348648071289
cotton,tobacco,The company has sold X and Y for almost twenty years.,-42.99325752258301,-48.31012487411499
church,community,Tim has said that his X and Y are very important to him.,-51.23694372177124,-52.04179239273071
courage,hope,It took X and Y to overcome what she had been through.,-49.48025608062744,-50.39934825897217
teaching,writing,He has discovered that X and Y are what he wants to do for a career.,-53.01460266113281,-53.57855939865112
gin,tonic,"After a long day of work, he had a X and Y to unwind and celebrate the weekend.",-8.161853901096038,-19.3847393989563
brush,trees,Amanda loved all the X and Y that surrounded her house.,-49.43972158432007,-48.47547674179077
pad,pencil,Antonio brought his X and Y to sketch the statues in the park.,-46.73771286010742,-48.08514070510864
chair,table,They noticed that the X and Y were knocked over after the earthquake.,-44.995697259902954,-45.23045587539673
houses,shops,"The town is pretty small, so the X and Y are really close to each other.",-18.473286505788565,-16.52923810482025
libraries,museums,The amount of time he spent in X and Y surpassed the amount of time he spent at home.,-22.24279833585024,-23.043095730245113
flames,smoke,"Down the street, you could see the X and Y from the house that was on fire.",-10.784632533788681,-11.060023203492165
guidance,information,She got a lot of X and Y from her older sister about the college admissions process.,-26.124886393547058,-26.34465742111206
stress,tension,"In order to get rid of X and Y after his exam, Zack went for a run.",-22.6818019002676,-23.51555049419403
days,years,It had been X and Y since Molly had seen her cousins.,-50.7678279876709,-50.30046844482422
actions,feelings,He was confused because her X and Y were not matching up.,-52.849366903305054,-51.38610887527466
energy,money,Alice said that all of the X and Y that her car needed made her want to sell it.,-33.4511821269989,-34.92651057243347
anguish,pain,His injury caused him a lot of X and Y and a long recovery.,-41.02640914916992,-40.95379590988159
colors,forms,They read a whole chapter on X and Y in her art class.,-51.88081407546997,-52.54699373245239
meaning,origin,Michael was confused about both the X and Y of the folk tale he had just heard.,-27.02164328098297,-31.28653597831726
freedom,security,Mary searched for X and Y in her next job opportunity.,-43.902451038360596,-44.3176589012146
gratitude,joy,David felt X and Y when his kids made him breakfast in bed.,-53.97537803649902,-53.49641275405884
mamma,papa,Antonio wants to spend a lot of time with his X and Y while they are in town.,-17.955181002616882,-16.92908251285553
length,weight,She took note of the X and Y of the bed before trying to bring it into the small room.,-21.604072779417038,-22.75496444106102
anger,hatred,Michelle felt a lot of X and Y towards her brother when he crashed her car.,-14.574585191905499,-14.821988433599472
aircraft,ships,The new X and Y ended up being extremely expensive.,-54.80855131149292,-55.91312646865845
sidewalks,streets,All of the X and Y were so busy that Mike decided not to leave his house.,-22.968309790827334,-17.77900424580912
democracy,liberty,Jade's brother talked about X and Y while they ate dinner on the fourth of July.,-20.467031240463257,-16.769796042703092
iron,wood,The company purchased X and Y for their latest construction project.,-49.28831386566162,-49.117180824279785
horses,wagons,"Instead of a car, they used X and Y to move their belongings to a new town.",-9.174087519437307,-12.895211793947965
clarity,precision,Devin tried to achieve X and Y in everything he did.,-53.611183643341064,-52.30155849456787
flowers,herbs,Dan grew X and Y in his own backyard.,-47.90533924102783,-48.1359429359436
confusion,fear,They felt X and Y about what they would do after graduating.,-51.95364952087402,-53.063565254211426
jaws,teeth,Teddy was surprised at how large the X and Y of the crocodiles he saw at the swamp were.,-15.569754779338837,-11.939206629991531
counties,towns,Fred drove through many X and Y to move to his new house.,-37.685133934020996,-37.45465850830078
bodies,faces,Grant wrote a poem about how everyone's X and Y are beautiful and unique.,-52.683695793151855,-52.60774850845337
ability,desire,Maddie had both the X and Y to play college-level soccer.,-53.14933109283447,-54.62436580657959
chest,stomach,Tom felt pain in both his X and Y so he decided to stay home from school.,-40.0317108631134,-41.02819228172302
Illinois,Missouri,Sam argues that X and Y are the best states to live in.,-48.046672344207764,-47.79494333267212
jams,jellies,Jake started making X and Y with all the fruit he was growing in his garden.,-55.38320255279541,-50.59224510192871
Tories,Whigs,Luke didn't know the difference between the X and Y so he asked his political science professor about them.,-13.708996627479792,-12.330828400328755
dogs,men,Her grandma joked that X and Y had a lot in common.,-47.822312355041504,-45.516380310058594
