Item,WordA,WordB,OverallFreq,RelFreq,Sentence (WordA and WordB),Sentence (WordB and WordA)
31,anger,anxiety,19277,0.4224205011,Anne felt anger and anxiety whenever she was stuck in traffic.,Anne felt anxiety and anger whenever she was stuck in traffic.
32,anger,fear,88323,0.4141843008,The abused dog showed both anger and fear when animal control came to pick him up.,The abused dog showed both fear and anger when animal control came to pick him up.
33,anger,hatred,29441,0.7066336062,Michelle felt a lot of anger and hatred towards her brother when he crashed her car.,Michelle felt a lot of hatred and anger towards her brother when he crashed her car.
34,anger,indignation,13774,0.7186728619,Amber felt anger and indignation after arguing with her sister.,Amber felt indignation and anger after arguing with her sister.
35,angst,science,0,,In our present era of angst and science many people find themselves uncertain of the fundamental truth.,In our present era of science and angst many people find themselves uncertain of the fundamental truth.
36,anguish,pain,31259,0.194631946,His injury caused him a lot of anguish and pain and a long recovery.,His injury caused him a lot of pain and anguish and a long recovery.
37,animosity,resistance,164,0.4756097561,The audience started to turn to animosity and resistance after the presenter's controversial speech.,The audience started to turn to resistance and animosity after the presenter's controversial speech.
38,anthropologist,engineer,0,,Our rural development team headed by a renowned anthropologist and engineer arrived at the destination last week.,Our rural development team headed by a renowned engineer and anthropologist arrived at the destination last week.
39,anthropology,psychology,16325,0.5429709035,He has figured out that anthropology and psychology are the subjects he wants to study in college.,He has figured out that psychology and anthropology are the subjects he wants to study in college.
40,anxiety,hazards,0,,In order to deal with the situation's anxiety and hazards the honeymooners had a thorough conversation before the trip.,In order to deal with the situation's hazards and anxiety the honeymooners had a thorough conversation before the trip.
41,appliances,cosmetics,43,1,Salesmen in appliances and cosmetics are the best in the department store.,Salesmen in cosmetics and appliances are the best in the department store.
42,apprehension,fear,19096,0.2492144952,Charlie felt apprehension and fear before jumping out of the plane to skydive.,Charlie felt fear and apprehension before jumping out of the plane to skydive.
43,apprenticeship,learning,228,0.4254385965,We need to get back to apprenticeship and learning instead of trying to figure out everything by ourselves.,We need to get back to learning and apprenticeship instead of trying to figure out everything by ourselves.
44,aqueducts,tombs,167,0.7125748503,Ashely was so impressed by the aqueducts and tombs that she extended her stay in Rome.,Ashely was so impressed by the tombs and aqueducts that she extended her stay in Rome.
45,Arizona,California,,,The high school students visited both Arizona and California to tour colleges before they applied.,The high school students visited both California and Arizona to tour colleges before they applied.
46,arms,hands,194013,0.4528098633,Both Chelsea's arms and hands are scraped up from falling off her bike.,Both Chelsea's hands and arms are scraped up from falling off her bike.
47,arms,legs,667976,0.8369926464,Sandra broke her arms and legs because she got into a bike accident.,Sandra broke her legs and arms because she got into a bike accident.
48,arrows,crosses,143,0.5734265734,"In the chart, a series of nodes are connected by arrows and crosses to denote the lineage of the breed .","In the chart, a series of nodes are connected by crosses and arrows to denote the lineage of the breed ."
49,articulation,establishment,60,0,The CEO believes that the articulation and establishment of rules is key to a well-functioning corporation.,The CEO believes that the establishment and articulation of rules is key to a well-functioning corporation.
50,arts,crafts,454080,0.9952497357,Lilly enjoys doing arts and crafts to relax when she is stressed.,Lilly enjoys doing crafts and arts to relax when she is stressed.
51,arts,sciences,618850,0.9544574614,"Carol couldn't decide between arts and sciences when applying for college majors, so she chose an interdisciplinary route.","Carol couldn't decide between sciences and arts when applying for college majors, so she chose an interdisciplinary route."
52,aspirations,dignity,214,0.5140186916,The Rule of Law should be employed to ensure that an individual's aspirations and dignity are repected in society.,The Rule of Law should be employed to ensure that an individual's dignity and aspirations are repected in society.
53,assistant,confidante,216,0.6296296296,Mrs. Green's sole assistant and confidante was her youngest daughter.,Mrs. Green's sole confidante and assistant was her youngest daughter.
54,attitude,culture,921,0.3811074919,The author sincerely wanted to tap the real springs of American attitude and culture regardless of how unpopular and embarrassing they may be.,The author sincerely wanted to tap the real springs of American culture and attitude regardless of how unpopular and embarrassing they may be.
55,attraction,conflict,77,1,"Clearly, both attraction and conflict existed between the two main characters.","Clearly, both conflict and attraction existed between the two main characters."
56,attractions,repulsions,12897,0.9523144917,He experienced both attractions and repulsions which made him very confused.,He experienced both repulsions and attractions which made him very confused.
57,aunt,uncle,165376,0.6382667376,"Over the summer, Steve stayed with his aunt and uncle at their vacation home near the beach.","Over the summer, Steve stayed with his uncle and aunt at their vacation home near the beach."
58,austerity,denial,221,0,Before committing himself to a life of austerity and denial he never managed to succeed.,Before committing himself to a life of denial and austerity he never managed to succeed.
59,authority,decency,70,1,This man of authority and decency finally gave in under the blow.,This man of decency and authority finally gave in under the blow.
60,background,dancers,0,,The art design for the show was so well done that the background and dancers merged into a shimmering unity .,The art design for the show was so well done that the dancers and background merged into a shimmering unity .
61,bale,box,198,0.4292929293,"Montero had set up a strong position, using every bale and box in addition to barricades.","Montero had set up a strong position, using every box and bale in addition to barricades."
62,bankers,friends,140,0.5,A series of conferences with bankers and friends began about this time to discuss this issue.,A series of conferences with friends and bankers began about this time to discuss this issue.
63,bankruptcy,death,636,0.7311320755,The old man has no fear of bankruptcy and death because he regards the well-being of others higher than his own.,The old man has no fear of death and bankruptcy because he regards the well-being of others higher than his own.
64,barnyard,coop,0,,Any bird accustomed only to the predictable life of barnyard and coop would be overwelmed by the events of the last hour.,Any bird accustomed only to the predictable life of coop and barnyard would be overwelmed by the events of the last hour.
65,barriers,stakes,0,,"After placing barriers and stakes all around, the residents of the town were confident of their defense against any attack.","After placing stakes and barriers all around, the residents of the town were confident of their defense against any attack."
66,beech,horse-chestnut,0,,The shelter is as much a part of my landscape as the beech and horse-chestnut trees that grow on the ridge .,The shelter is as much a part of my landscape as the horse-chestnut and beech trees that grow on the ridge .
67,beginnings,greetings,0,,"As a pessimist, he believes that beginnings and greetings are the best part of any human interaction.","As a pessimist, he believes that greetings and beginnings are the best part of any human interaction."
68,bellboy,chambermaid,0,,He should interview the bellboy and chambermaid before they get off their shifts.,He should interview the chambermaid and bellboy before they get off their shifts.
69,benefactor,sponsor,108,0,It was announced that the school would be renamed after its benefactor and sponsor from its early years.,It was announced that the school would be renamed after its sponsor and benefactor from its early years.
70,berries,gardens,0,,The book on berries and gardens written by the famous botanist is accessible for everyone.,The book on gardens and berries written by the famous botanist is accessible for everyone.
71,bicep,forearm,310,0.4806451613,I was impressed by the strength in the man's bicep and forearm although he looks relatively thin.,I was impressed by the strength in the man's forearm and bicep although he looks relatively thin.
72,bitterness,youth,0,,On his face was this uncanny combination of bitterness and youth that makes one wonder what he must have been through.,On his face was this uncanny combination of youth and bitterness that makes one wonder what he must have been through.
73,bleats,rasps,0,,The horns' bleats and rasps continuously serenaded everyone's ears.,The horns' rasps and bleats continuously serenaded everyone's ears.
74,bleedings,pills,0,,The hospital with all those bleedings and pills has been John's least favorite place since his was a young boy.,The hospital with all those pills and bleedings has been John's least favorite place since his was a young boy.
75,boards,two-by-fours,0,,Mr. Mills gave him the various kinds of boards and two-by-fours to make a new workbench for the studio.,Mr. Mills gave him the various kinds of two-by-fours and boards to make a new workbench for the studio.
76,boy,mount,0,,"For a moment, boy and mount hung in midair, causing gasps from the audience.","For a moment, mount and boy hung in midair, causing gasps from the audience."
77,cables,communiques,0,,My correspondent's constant dipatch of exciting cables and communiques made me wonder what background he came from.,My correspondent's constant dipatch of exciting communiques and cables made me wonder what background he came from.
78,cakes,comfort,0,,She resumed her self-imposed chores of visiting the poor and bringing cakes and comfort to destitute patients in the county hospital.,She resumed her self-imposed chores of visiting the poor and bringing comfort and cakes to destitute patients in the county hospital.
79,calmness,detachment,210,1,His tone's calmness and detachment suggested that he was unaware of his own guilt.,His tone's detachment and calmness suggested that he was unaware of his own guilt.
80,capture,isolation,121,0.4214876033,All factors that might contribute to our country's capture and isolation must be eliminated as soon as possible.,All factors that might contribute to our country's isolation and capture must be eliminated as soon as possible.
81,career,wanderings,0,,The Maestro told of his career and wanderings to explain how the number seven had significantly recurred in his life several times.,The Maestro told of his wanderings and career to explain how the number seven had significantly recurred in his life several times.
82,carpet,tile,820,0.4926829268,The best carpet and tile makers worked through Abbas's reign and those of his successors to enrich the city.,The best tile and carpet makers worked through Abbas's reign and those of his successors to enrich the city.
83,catholics,non-catholics,0,,Our next step is to recognize the substantial agreement already existing between catholics and non-catholics before seeking futher negotiation.,Our next step is to recognize the substantial agreement already existing between non-catholics and catholics before seeking futher negotiation.
84,ceremonies,exhortations,0,,They perform elaborate ceremonies and exhortations but have virtually no understanding of social cause and effect.,They perform elaborate exhortations and ceremonies but have virtually no understanding of social cause and effect.
85,chair,floor,693,0.7113997114,Mark painted the chair and floor on the day he got back.,Mark painted the floor and chair on the day he got back.
86,charters,contracts,401,0.6209476309,Her lawyer of a father was too busy debating the legal inviolability of charters and contracts to notice her pining.,Her lawyer of a father was too busy debating the legal inviolability of contracts and charters to notice her pining.
87,cherries,pineapple,878,0.5421412301,He left the ham decorated with cherries and pineapple to cool on the porch.,He left the ham decorated with pineapple and cherries to cool on the porch.
88,childhood,hobo,0,,Sandburg went to assemble a book of songs out of his childhood and hobo days and from the memory of songs others had taught him.,Sandburg went to assemble a book of songs out of his hobo and childhood days and from the memory of songs others had taught him.
89,choir,glee-club,0,,He served as choir and glee-club leader at different times during his college years.,He served as glee-club and choir leader at different times during his college years.
90,chorus,verses,532,0.1484962406,Most of the chorus and verses of the song had special meanings to the author.,Most of the verses and chorus of the song had special meanings to the author.
91,clarification,reexamination,72,0,All international laws are now in need of clarification and reexamination because of the change in social conditions of the present era.,All international laws are now in need of reexamination and clarification because of the change in social conditions of the present era.
92,clarity,flavor,104,0.5096153846,My landlord lugged me up a mountainside to drink from a spring famous for its clarity and flavor a few mongths ago.,My landlord lugged me up a mountainside to drink from a spring famous for its flavor and clarity a few mongths ago.
93,clash,meeting,60,0,No one predicted that the clash and meeting of the two cultures would unfold so violently.,No one predicted that the meeting and clash of the two cultures would unfold so violently.
94,classicist,mathematician,0,,She is not only a trained classicist and mathematician but also a good architect.,She is not only a trained mathematician and classicist but also a good architect.
95,classifications,probings,0,,With his endless classifications and probings the analyst appears to be lacking a soul.,With his endless probings and classifications the analyst appears to be lacking a soul.
96,clergymen,parishioners,104,1,This scandal involving clergymen and parishioners shocked the entire world.,This scandal involving parishioners and clergymen shocked the entire world.
97,clerk,cook,65,1,"One of his innovations was to see to it that every man, even clerk and cook included, qualified with every weapon in the troop.","One of his innovations was to see to it that every man, even cook and clerk included, qualified with every weapon in the troop."
98,clerks,postmasters,247,0.2631578947,The exhausted clerks and postmasters shoveled dirt out of their offices and wondered how to move the mail.,The exhausted postmasters and clerks shoveled dirt out of their offices and wondered how to move the mail.
99,clothes,haircut,472,0.5720338983,The newcomer with his old-fashioned clothes and haircut was disliked by the superintendent.,The newcomer with his old-fashioned haircut and clothes was disliked by the superintendent.
100,clothing,decorations,327,0.877675841,The man's posh clothing and decorations would have paid the Wrights' rent for a year.,The man's posh decorations and clothing would have paid the Wrights' rent for a year.
101,cologne,munich,862,0.5475638051,He will conduct two concerts in cologne and munich as well as at the Accademia Di Santa Cecilia.,He will conduct two concerts in munich and cologne as well as at the Accademia Di Santa Cecilia.
102,community,customers,502,0.2171314741,Store owners can establish sincere relationships with their community and customers by representing a human personality.,Store owners can establish sincere relationships with their customers and community by representing a human personality.
103,competence,willingness,824,0.6723300971,The heads of growing enterprises can develop the competence and willingness to accept the personal responsibility so sorely needed now.,The heads of growing enterprises can develop the willingness and competence to accept the personal responsibility so sorely needed now.
104,composure,tranquility,202,0.6287128713,He had achieved a certain composure and tranquility by accepting the fact that there were certain things he could never know.,He had achieved a certain tranquility and composure by accepting the fact that there were certain things he could never know.
105,concern,inquiry,633,0.317535545,I immediately knew from the concern and inquiry in her voice that she was the victim's family member.,I immediately knew from the inquiry and concern in her voice that she was the victim's family member.
106,contemplation,delight,195,0.7743589744,Crossword puzzles are a source of contemplation and delight for me whenever I am bored.,Crossword puzzles are a source of delight and contemplation for me whenever I am bored.
107,contortion,scream,0,,The patient's contortion and scream scared most of the people in the room.,The patient's scream and contortion scared most of the people in the room.
108,control,needs,866,0.5912240185,Corporations must become quasi-governmental institutions subject to public control and needs if they are not to run away with us.,Corporations must become quasi-governmental institutions subject to public needs and control if they are not to run away with us.
109,costume,decor,839,0.6615017878,To the arts of costume and decor Mr. Nikolais has made a distinctive contribution.,To the arts of decor and costume Mr. Nikolais has made a distinctive contribution.
110,courage,virility,757,0.5416116248,"He had faith that the idea would work, since his courage and virility were involved in the magnificent plan.","He had faith that the idea would work, since his virility and courage were involved in the magnificent plan."
111,courthouse,square,181,0.4475138122,The assassin had followed him and waited till the courthouse and square were deserted to shut him up.,The assassin had followed him and waited till the square and courthouse were deserted to shut him up.
112,cover,pillows,236,0.6271186441,The bed with dark-brown cover and pillows had been made up way before the guest arrived.,The bed with dark-brown pillows and cover had been made up way before the guest arrived.
113,coverings,veils,267,0.2397003745,The gentle nuns with coverings and veils were the unwitting models of several of his paintings.,The gentle nuns with veils and coverings were the unwitting models of several of his paintings.
114,covers,towels,119,0.6470588235,The housemaid came in with clean covers and towels but was startled by the unexpected presence of Mr. Hirschman.,The housemaid came in with clean towels and covers but was startled by the unexpected presence of Mr. Hirschman.
115,cowboy,rancher,537,0.6573556797,It turned out that Tom had a number of cowboy and rancher witnesses ready to swear with straight faces that he had been out of town the day of the killing.,It turned out that Tom had a number of rancher and cowboy witnesses ready to swear with straight faces that he had been out of town the day of the killing.
116,criminality,madness,250,0.396,The young man disgusted by the criminality and madness around him left home to become a monk.,The young man disgusted by the madness and criminality around him left home to become a monk.
117,crisis,destruction,83,1,The Old Order's crisis and destruction was symbolized by a dead armadillo on the stage.,The Old Order's destruction and crisis was symbolized by a dead armadillo on the stage.
118,cry,rustle,0,,All of a sudden the cry and rustle of wild birds filled the warm spring morning.,All of a sudden the rustle and cry of wild birds filled the warm spring morning.
119,curiosity,foreboding,98,1,"Kate tried to contain her curiosity and foreboding as she read the letter, wondering what the new arrangement would mean for Juanita.","Kate tried to contain her foreboding and curiosity as she read the letter, wondering what the new arrangement would mean for Juanita."
120,currents,rhythms,44,1,This life has its own currents and rhythms just like any other way of life does.,This life has its own rhythms and currents just like any other way of life does.
121,dancers,guests,144,0.625,"All the dancers and guests were bathed in the same soft, warm light.","All the guests and dancers were bathed in the same soft, warm light."
122,danger,nuisance,499,0.248496994,Young boys were the main danger and nuisance according to the glassware store owner.,Young boys were the main nuisance and danger according to the glassware store owner.
123,defeat,misfortune,606,0.3613861386,The heroic loyalty of the Swedish people to their king in defeat and misfortune was the central theme of the play.,The heroic loyalty of the Swedish people to their king in misfortune and defeat was the central theme of the play.
124,delirium,illness,235,0,The story ends in the child 's delirium and illness without telling the readers if his mother ever made it back.,The story ends in the child 's illness and delirium without telling the readers if his mother ever made it back.
125,denial,ignorance,960,0.2645833333,Pamela realized that denial and ignorance were not the best ways to deal with those threatening forces.,Pamela realized that ignorance and denial were not the best ways to deal with those threatening forces.
126,denials,sacrifices,214,0.6542056075,"If providing higher standards of living gets in the way of producing sufficient guns to resist the aggression, then denials and sacrifices will have to be made.","If providing higher standards of living gets in the way of producing sufficient guns to resist the aggression, then sacrifices and denials will have to be made."
127,derelicts,outcasts,133,0.4661654135,The house welcomes the city's derelicts and outcasts to eat and converse.,The house welcomes the city's outcasts and derelicts to eat and converse.
128,design,outline,446,0.4730941704,"The composition's main design and outline was the product of collaboration with musicians, ballad singers, and musicologists.","The composition's main outline and design was the product of collaboration with musicians, ballad singers, and musicologists."
129,desire,response,702,0.7934472934,"During the animal behavior experiment, the lions' desire and response defied the scientists' predictions.","During the animal behavior experiment, the lions' response and desire defied the scientists' predictions."
130,desire,wishing,158,0.4240506329,She let her soul suspend itself above all desire and wishing to just relax in the tub.,She let her soul suspend itself above all wishing and desire to just relax in the tub.
131,dialects,localisms,0,,The effects of television and other mass media are erasing dialects and localisms with a startling force.,The effects of television and other mass media are erasing localisms and dialects with a startling force.
132,diamonds,mink,422,0.3981042654,The girl clad in diamonds and mink listened to the Assistant District Attorney describe her to the arraigning judge.,The girl clad in mink and diamonds listened to the Assistant District Attorney describe her to the arraigning judge.
133,diffidence,gentleness,24,1,His habitual diffidence and gentleness was submerged under his present agitation.,His habitual gentleness and diffidence was submerged under his present agitation.
134,direction,moment,181,0.4475138122,The attack that happened in the least expected direction and moment caught everyone off guard.,The attack that happened in the least expected moment and direction caught everyone off guard.
135,directness,truth,390,0.5948717949,Her insistence on directness and truth caused some problems in their relationship.,Her insistence on truth and directness caused some problems in their relationship.
136,disarray,impasse,0,,"According to some, the disarray and impasse of European politics were reflected in ""Waiting For Godot"".","According to some, the impasse and disarray of European politics were reflected in ""Waiting For Godot""."
137,disasters,sufferings,552,0.4166666667,John has seen too many disasters and sufferings to uphold his blind optimism.,John has seen too many sufferings and disasters to uphold his blind optimism.
138,disrespect,misunderstanding,55,0,Wright had to endure the disrespect and misunderstanding as he best could.,Wright had to endure the misunderstanding and disrespect as he best could.
139,distinction,tone,127,0,The rider gave the day distinction and tone by breaking the world record.,The rider gave the day tone and distinction by breaking the world record.
140,doctors,president,0,,"Despite the many meetings, the doctors and president never managed to reach an agreement on this issue.","Despite the many meetings, the president and doctors never managed to reach an agreement on this issue."
141,dogs,grandchildren,98,0.4591836735,My grandmother was too indulgent a lover of dogs and grandchildren to be an impassioned gardener.,My grandmother was too indulgent a lover of grandchildren and dogs to be an impassioned gardener.
142,door,sill,261,0.6704980843,"Light was beginning to creep across the room, touching door and sill before reaching Doaty 's flowers.","Light was beginning to creep across the room, touching sill and door before reaching Doaty 's flowers."
143,drawing,models,191,0.1989528796,Dennis never went down to the factory but the drawing and models were done by him.,Dennis never went down to the factory but the models and drawing were done by him.
144,dregs,wine,0,,The undesirable mixture of dregs and wine should be left in the bottle.,The undesirable mixture of wine and dregs should be left in the bottle.
145,dryness,dust,433,0.3833718245,The season of dryness and dust is brought by the monsoon from the northeast.,The season of dust and dryness is brought by the monsoon from the northeast.
146,emeralds,peanuts,0,,Those crazy people knew clearly the relative values of emeralds and peanuts but insisted on selling them at the same price.,Those crazy people knew clearly the relative values of peanuts and emeralds but insisted on selling them at the same price.
147,employees,proprietors,689,0.3018867925,"Strikes should be declared illegal against corporations because employees and proprietors must be completely interdependent, as they are each a part of the whole.","Strikes should be declared illegal against corporations because proprietors and employees must be completely interdependent, as they are each a part of the whole."
148,envelope,pencil,347,0.5677233429,Eugenia was sitting at the kitchen table with the envelope and pencil jotting down words and figures.,Eugenia was sitting at the kitchen table with the pencil and envelope jotting down words and figures.
149,envy,hurt,124,0.5564516129,Helena was full of envy and hurt when she decided to tell Demetrius the two lovers' secret.,Helena was full of hurt and envy when she decided to tell Demetrius the two lovers' secret.
150,equality,relativism,0,,"The theory suffers from many weaknesses, with equality and relativism being its biggest problems.","The theory suffers from many weaknesses, with relativism and equality being its biggest problems."
151,equipment,musket,0,,The man stripped of his equipment and musket was then tied to the chair.,The man stripped of his musket and equipment was then tied to the chair.
152,exasperation,love,235,0.2255319149,The single word she said mingled exasperation and love in an equal blend.,The single word she said mingled love and exasperation in an equal blend.
153,farms,hayfields,0,,The gravel roads leading past farms and hayfields will be paved next year.,The gravel roads leading past hayfields and farms will be paved next year.
154,farms,mountains,372,0.564516129,The artist paints farms and mountains in a modern impressionist fashion.,The artist paints mountains and farms in a modern impressionist fashion.
155,fear,ritual,0,,A reduction in fear and ritual has been observed in the tribes as modern science gains more influence.,A reduction in ritual and fear has been observed in the tribes as modern science gains more influence.
156,felons,fixers,0,,The officer consorting with those felons and fixers was fired from the police department.,The officer consorting with those fixers and felons was fired from the police department.
157,fishermen,scientists,453,0.5607064018,Around this area fishermen and scientists have occasionally seen strange by-products of the phenomenon.,Around this area scientists and fishermen have occasionally seen strange by-products of the phenomenon.
158,flirtation,romance,145,0.6827586207,The novel filled with flirtation and romance was disdained by the stern English teacher.,The novel filled with romance and flirtation was disdained by the stern English teacher.
159,force,voice,508,0.1850393701,The campaign seeks to give force and voice to those striving for their rights.,The campaign seeks to give voice and force to those striving for their rights.
160,foresight,patriotism,287,0.5156794425,Miss Johnson's foresight and patriotism have been widely praised among her readers.,Miss Johnson's patriotism and foresight have been widely praised among her readers.
161,form,mess,0,,The tension between form and mess is an important topic in art.,The tension between mess and form is an important topic in art.
162,freedom,israel,62,0,For the soldier freedom and israel are above everything else.,For the soldier israel and freedom are above everything else.
163,friends,tenants,790,0.6227848101,Mrs. Green greeted her friends and tenants as she walked into the house.,Mrs. Green greeted her tenants and friends as she walked into the house.
164,furs,merchandise,464,0.6637931034,All activity in furs and merchandise were reserved for the largest trading company in the area.,All activity in merchandise and furs were reserved for the largest trading company in the area.
165,gadgets,prowess,0,,"Despite the scientific gadgets and prowess we have, new unanswered questions are arising every day.","Despite the scientific prowess and gadgets we have, new unanswered questions are arising every day."
166,garden,livestock,476,0.6596638655,Adequate water for your garden and livestock may be provided by a pond.,Adequate water for your livestock and garden may be provided by a pond.
167,garden,pavilion,325,0.4307692308,Chehel Sotun was a garden and pavilion built in the seventeenth century.,Chehel Sotun was a pavilion and garden built in the seventeenth century.
168,gardens,riverbanks,0,,Going to the gardens and riverbanks is one of my favorite leisure activities.,Going to the riverbanks and gardens is one of my favorite leisure activities.
169,gardens,housing,61,0,A fringe of gardens and housing lined the top of the hill.,A fringe of housing and gardens lined the top of the hill.
170,gasps,rushes,0,,The boys exclaimed in gasps and rushes as they searched all around the house.,The boys exclaimed in rushes and gasps as they searched all around the house.
171,gentility,principle,0,,Having lived a life of gentility and principle Cousin Elec passed away peacefully in his bed.,Having lived a life of principle and gentility Cousin Elec passed away peacefully in his bed.
172,gift,heritage,516,0.5096899225,Through both gift and heritage Mr. Collins has come to possess a large coin collection.,Through both heritage and gift Mr. Collins has come to possess a large coin collection.
173,glance,signal,0,,The agents communicating with each other by glance and signal were on a secret mission.,The agents communicating with each other by signal and glance were on a secret mission.
174,goodnight,lullaby,226,0,The baby needs her mom's goodnight and lullaby to go to sleep.,The baby needs her mom's lullaby and goodnight to go to sleep.
175,gossip,truth,63,0,Students who cannot distinguish between gossip and truth are all over this school.,Students who cannot distinguish between truth and gossip are all over this school.
176,graces,manners,783,0.4597701149,She seems to be a woman who keeps her graces and manners as she ages over the years.,She seems to be a woman who keeps her manners and graces as she ages over the years.
177,grandfather,great-grandfather,0,,Mr. Walton's grandfather and great-grandfather were scholars in the same field as well.,Mr. Walton's great-grandfather and grandfather were scholars in the same field as well.
178,greed,pettiness,296,0.4155405405,She is now freed from greed and pettiness by leading a simple life in the countryside.,She is now freed from pettiness and greed by leading a simple life in the countryside.
179,gunfire,shouting,524,0.5190839695,The children frightened by the gunfire and shouting hid in their mothers' arms.,The children frightened by the shouting and gunfire hid in their mothers' arms.
180,handle,hinge,46,0,Each and every handle and hinge shone after the hardworking maid completed her work.,Each and every hinge and handle shone after the hardworking maid completed her work.
181,hat,tunic,331,0.5407854985,The tall man in a hat and tunic was my friend Henry.,The tall man in a tunic and hat was my friend Henry.
182,head-tossing,prancing,0,,The pop star's signature head-tossing and prancing cannot be easily immitated by impersonators.,The pop star's signature prancing and head-tossing cannot be easily immitated by impersonators.
183,hearsay,legend,435,0.4942528736,People who fill their heads with hearsay and legend have a hard time accepting the truth.,People who fill their heads with legend and hearsay have a hard time accepting the truth.
184,heat,outcry,0,,The superintendent has noticed some heat and outcry among the assembly line workers.,The superintendent has noticed some outcry and heat among the assembly line workers.
