Item,WordA,WordB,OverallFreq,RelFreq,Sentence,first_word_index,alpha_order,BinomFreq,Binomial,Word1,Word2,group,Asked_about_first_or_second
70,bitterness,youth,0,0,On his face was this uncanny combination of bitterness and youth that makes one wonder what he must have been through.,9,1,0,bitterness and youth,bitterness,youth,1,1
71,bleats,rasps,0,0,The horns' bleats and rasps continuously serenaded everyone's ears.,3,1,0,bleats and rasps,bleats,rasps,1,2
73,boards,two-by-fours,0,0,Mr. Mills gave him the various kinds of boards and two-by-fours to make a new workbench for the studio.,9,1,0,boards and two-by-fours,boards,two-by-fours,1,1
76,cakes,comfort,0,0,She resumed her self-imposed chores of visiting the poor and bringing cakes and comfort to destitute patients in the county hospital.,12,1,0,cakes and comfort,cakes,comfort,1,2
77,calmness,detachment,210,1,His tone's calmness and detachment suggested that he was unaware of his own guilt.,3,1,210,calmness and detachment,calmness,detachment,1,1
81,catholics,non-catholics,0,0,Our next step is to recognize the substantial agreement already existing between catholics and non-catholics before seeking futher negotiation.,13,1,0,catholics and non-catholics,catholics,non-catholics,1,2
82,ceremonies,exhortations,0,0,They perform elaborate ceremonies and exhortations but have virtually no understanding of social cause and effect.,4,1,0,ceremonies and exhortations,ceremonies,exhortations,1,1
84,charters,contracts,401,0.6209476309,Her lawyer of a father was too busy debating the legal inviolability of charters and contracts to notice her pining.,14,1,249,charters and contracts,charters,contracts,1,2
85,cherries,pineapple,878,0.5421412301,He left the ham decorated with cherries and pineapple to cool on the porch.,7,1,476,cherries and pineapple,cherries,pineapple,1,1
87,choir,glee-club,0,0,He served as choir and glee-club leader at different times during his college years.,4,1,0,choir and glee-club,choir,glee-club,1,2
91,clash,meeting,60,0,No one predicted that the clash and meeting of the two cultures would unfold so violently.,6,1,0,clash and meeting,clash,meeting,1,1
92,classicist,mathematician,0,0,She is not only a trained classicist and mathematician but also a good architect.,7,1,0,classicist and mathematician,classicist,mathematician,1,2
95,clerk,cook,65,1,"One of his innovations was to see to it that every man, even clerk and cook included, qualified with every weapon in the troop.",14,1,65,clerk and cook,clerk,cook,1,1
96,clerks,postmasters,247,0.2631578947,The exhausted clerks and postmasters shoveled dirt out of their offices and wondered how to move the mail.,3,1,64.99999999,clerks and postmasters,clerks,postmasters,1,2
98,clothing,decorations,327,0.877675841,The man's posh clothing and decorations would have paid the Wrights' rent for a year.,4,1,287,clothing and decorations,clothing,decorations,1,1
100,community,customers,502,0.2171314741,Store owners can establish sincere relationships with their community and customers by representing a human personality.,9,1,109,community and customers,community,customers,1,2
101,competence,willingness,824,0.6723300971,The heads of growing enterprises can develop the competence and willingness to accept the personal responsibility so sorely needed now.,9,1,554,competence and willingness,competence,willingness,1,1
103,concern,inquiry,633,0.317535545,I immediately knew from the concern and inquiry in her voice that she was the victim's family member.,6,1,201,concern and inquiry,concern,inquiry,1,2
104,contemplation,delight,195,0.7743589744,Crossword puzzles are a source of contemplation and delight for me whenever I am bored.,7,1,151,contemplation and delight,contemplation,delight,1,1
108,courage,virility,757,0.5416116248,"He had faith that the idea would work, since his courage and virility were involved in the magnificent plan.",11,1,410,courage and virility,courage,virility,1,2
109,courthouse,square,181,0.4475138122,The assassin had followed him and waited till the courthouse and square were deserted to shut him up.,10,1,81.00000001,courthouse and square,courthouse,square,1,1
110,cover,pillows,236,0.6271186441,The bed with dark-brown cover and pillows had been made up way before the guest arrived.,5,1,148,cover and pillows,cover,pillows,1,2
111,coverings,veils,267,0.2397003745,The gentle nuns with coverings and veils were the unwitting models of several of his paintings.,5,1,63.99999999,coverings and veils,coverings,veils,1,1
116,cry,rustle,0,0,All of a sudden the cry and rustle of wild birds filled the warm spring morning.,6,1,0,cry and rustle,cry,rustle,1,2
118,currents,rhythms,44,1,This life has its own currents and rhythms just like any other way of life does.,6,1,44,currents and rhythms,currents,rhythms,1,1
119,dancers,guests,144,0.625,"All the dancers and guests were bathed in the same soft, warm light.",3,1,90,dancers and guests,dancers,guests,1,2
121,defeat,misfortune,606,0.3613861386,The heroic loyalty of the Swedish people to their king in defeat and misfortune was the central theme of the play.,12,1,219,defeat and misfortune,defeat,misfortune,1,1
122,delirium,illness,235,0,The story ends in the child 's delirium and illness without telling the readers if his mother ever made it back.,8,1,0,delirium and illness,delirium,illness,1,2
123,denial,ignorance,960,0.2645833333,Pamela realized that denial and ignorance were not the best ways to deal with those threatening forces.,4,1,254,denial and ignorance,denial,ignorance,1,1
126,design,outline,446,0.4730941704,"The composition's main design and outline was the product of collaboration with musicians, ballad singers, and musicologists.",4,1,211,design and outline,design,outline,1,2
129,dialects,localisms,0,0,The effects of television and other mass media are erasing dialects and localisms with a startling force.,11,1,0,dialects and localisms,dialects,localisms,1,1
131,diffidence,gentleness,24,1,His habitual diffidence and gentleness was submerged under his present agitation.,3,1,24,diffidence and gentleness,diffidence,gentleness,1,2
135,disasters,sufferings,552,0.4166666667,John has seen too many disasters and sufferings to uphold his blind optimism.,6,1,230,disasters and sufferings,disasters,sufferings,1,1
138,doctors,president,0,0,"Despite the many meetings, the doctors and president never managed to reach an agreement on this issue.",6,1,0,doctors and president,doctors,president,1,2
140,door,sill,261,0.6704980843,"Light was beginning to creep across the room, touching door and sill before reaching Doaty 's flowers.",10,1,175,door and sill,door,sill,1,1
142,dregs,wine,0,0,The undesirable mixture of dregs and wine should be left in the bottle.,5,1,0,dregs and wine,dregs,wine,1,2
149,equipment,musket,0,0,The man stripped of his equipment and musket was then tied to the chair.,6,1,0,equipment and musket,equipment,musket,1,1
150,exasperation,love,235,0.2255319149,The single word she said mingled exasperation and love in an equal blend.,7,1,53,exasperation and love,exasperation,love,1,2
152,farms,mountains,372,0.564516129,The artist paints farms and mountains in a modern impressionist fashion.,4,1,210,farms and mountains,farms,mountains,1,1
153,fear,ritual,0,0,A reduction in fear and ritual has been observed in the tribes as modern science gains more influence.,4,1,0,fear and ritual,fear,ritual,1,2
154,felons,fixers,0,0,The officer consorting with those felons and fixers was fired from the police department.,6,1,0,felons and fixers,felons,fixers,1,1
155,fishermen,scientists,453,0.5607064018,Around this area fishermen and scientists have occasionally seen strange by-products of the phenomenon.,4,1,254,fishermen and scientists,fishermen,scientists,1,2
156,flirtation,romance,145,0.6827586207,The novel filled with flirtation and romance was disdained by the stern English teacher.,5,1,99,flirtation and romance,flirtation,romance,1,1
157,force,voice,508,0.1850393701,The campaign seeks to give force and voice to those striving for their rights.,6,1,94.00000001,force and voice,force,voice,1,2
158,foresight,patriotism,287,0.5156794425,Miss Johnson's foresight and patriotism have been widely praised among her readers.,3,1,148,foresight and patriotism,foresight,patriotism,1,1
159,form,mess,0,0,The tension between form and mess is an important topic in art.,4,1,0,form and mess,form,mess,1,2
161,friends,tenants,790,0.6227848101,Mrs. Green greeted her friends and tenants as she walked into the house.,5,1,492,friends and tenants,friends,tenants,1,1
162,furs,merchandise,464,0.6637931034,All activity in furs and merchandise were reserved for the largest trading company in the area.,4,1,308,furs and merchandise,furs,merchandise,1,2
166,gardens,riverbanks,0,0,Going to the gardens and riverbanks is one of my favorite leisure activities.,4,1,0,gardens and riverbanks,gardens,riverbanks,1,1
170,gift,heritage,516,0.5096899225,Through both gift and heritage Mr. Collins has come to possess a large coin collection.,3,1,263,gift and heritage,gift,heritage,1,2
171,glance,signal,0,0,The agents communicating with each other by glance and signal were on a secret mission.,8,1,0,glance and signal,glance,signal,1,1
173,gossip,truth,63,0,Students who cannot distinguish between gossip and truth are all over this school.,6,1,0,gossip and truth,gossip,truth,1,2
174,graces,manners,783,0.4597701149,She seems to be a woman who keeps her graces and manners as she ages over the years.,10,1,360,graces and manners,graces,manners,1,1
177,gunfire,shouting,524,0.5190839695,The children frightened by the gunfire and shouting hid in their mothers' arms.,6,1,272,gunfire and shouting,gunfire,shouting,1,2
178,handle,hinge,46,0,Each and every handle and hinge shone after the hardworking maid completed her work.,4,1,0,handle and hinge,handle,hinge,1,1
187,huggings,kissings,187,0.7967914439,There have been a lot of huggings and kissings since the reunion started.,7,1,149,huggings and kissings,huggings,kissings,1,2
188,humor,proportion,519,0.7052023121,They lost their sense of humor and proportion as they grew more and more defensive.,6,1,366,humor and proportion,humor,proportion,1,1
189,immersion,involvement,155,0.3935483871,The country's immersion and involvement in world affairs has increased over the years.,3,1,61,immersion and involvement,immersion,involvement,1,2
192,ingratitude,injury,28,1,"If the child isn't taught how to deal with other people, ingratitude and injury are likely to occur.",12,1,28,ingratitude and injury,ingratitude,injury,1,1
194,intelligence,mentality,156,0.5064102564,Despite his contempt for the police's intelligence and mentality the detective is perfectly willing to cooperate with them.,7,1,79,intelligence and mentality,intelligence,mentality,1,2
195,intensities,rhythms,129,0,The sequence of intensities and rhythms can be determined by a mathematical system established by the composer.,4,1,0,intensities and rhythms,intensities,rhythms,1,1
200,juice,spirit,56,1,"The boy, full of juice and spirit, got down to painting the fence right away.",5,1,56,juice and spirit,juice,spirit,1,2
201,ketches,yachts,0,0,All the ketches and yachts belonged to the royalties.,3,1,0,ketches and yachts,ketches,yachts,1,1
202,kind,scale,923,0.6684723727,"In order to begin, John must on the kind and scale of farming he wants to undertake.",9,1,617,kind and scale,kind,scale,1,2
205,linguistics,psychiatry,0,0,Dr. Chang was trained in both linguistics and psychiatry before launching his successful career.,7,1,0,linguistics and psychiatry,linguistics,psychiatry,1,1
206,linguists,psychotherapists,0,0,Teams of linguists and psychotherapists attended the conference to present their work.,3,1,0,linguists and psychotherapists,linguists,psychotherapists,1,2
207,lint,thread,136,0.3823529412,Particles of lint and thread were found in the patient's mouth.,3,1,52,lint and thread,lint,thread,1,1
209,madman,tyrant,26,1,From being a madman and tyrant he was now the best-known figure in the history of Sweden.,4,1,26,madman and tyrant,madman,tyrant,1,2
210,maintenance,travel,815,0.1926380368,Having served for a number of years without pay beyond her maintenance and travel she finally left for a better job.,12,1,157,maintenance and travel,maintenance,travel,1,1
211,maps,registers,159,0.641509434,From the maps and registers the expert has identified six potential excavation sites.,3,1,102,maps and registers,maps,registers,1,2
212,marquees,signs,276,0.5543478261,Anna was surprised to see the marquees and signs lit up for the first time since blackout regulations had been instituted.,7,1,153,marquees and signs,marquees,signs,1,1
217,misunderstanding,persecution,500,0.664,Advocates of this unusual way of life face misunderstanding and persecution constantly wherever they go.,9,1,332,misunderstanding and persecution,misunderstanding,persecution,1,2
218,modernizing,redecorating,0,0,The old house in need of modernizing and redecorating was sold for a low price.,7,1,0,modernizing and redecorating,modernizing,redecorating,1,1
219,nagging,stress,0,0,I don't want to hear any more of her nagging and stress because they make me feel worse than I already do.,10,1,0,nagging and stress,nagging,stress,1,2
220,names,specialties,282,1,Be sure to familiarize yourself with their names and specialties before going to the wine dealers.,8,1,282,names and specialties,names,specialties,1,1
225,onrush,retreat,0,0,The wolves' onrush and retreat were studied closely by the zoologists using a hidden camera.,3,1,0,onrush and retreat,onrush,retreat,1,2
227,pains,shocks,164,0.4756097561,The therapist led her patients to let go of their pains and shocks over their sessions every month.,11,1,78,pains and shocks,pains,shocks,1,1
228,painting,sculptures,495,0.7292929293,The theme of conflict in painting and sculptures is one of Maria's areas of interest.,6,1,361,painting and sculptures,painting,sculptures,1,2
231,patronage,subscription,34,1,The editor of the magazine thanked the readers for their patronage and subscription in the last editorial of the year.,11,1,34,patronage and subscription,patronage,subscription,1,1
232,peace,rehabilitation,75,1,The two sides both yearning for peace and rehabilitation settled on a cease-fire last week.,7,1,75,peace and rehabilitation,peace,rehabilitation,1,2
235,pills,tonics,449,0.7305122494,"Having dealt with pills and tonics for months, Catherine finally got out of hospital.",4,1,328,pills and tonics,pills,tonics,1,1
237,powers,traditions,200,0.715,The Presidential office's powers and traditions were firmly upheld during his term as president.,4,1,143,powers and traditions,powers,traditions,1,2
241,reference,withdrawal,0,0,Greta's memory has stored for reference and withdrawal the locations of nice restaurants in town.,6,1,0,reference and withdrawal,reference,withdrawal,1,1
242,retribution,violence,835,0.1053892216,Before resorting to retribution and violence other measures should be taken to resolve the conflict.,4,1,88.00000004,retribution and violence,retribution,violence,1,2
245,scars,welts,438,0.4269406393,The sight of the boy's body covered in scars and welts made his mother burst out in tears.,9,1,187,scars and welts,scars,welts,1,1
246,Scots,Swiss,99,0.5656565657,"Surprisingly, the Scots and Swiss in my class spoke Spanish fluently.",3,1,56,Scots and Swiss,Scots,Swiss,1,2
247,screens,shades,336,0.3035714286,The skylights fitted with systems of multiple screens and shades were fitted into the roof.,8,1,102,screens and shades,screens,shades,1,1
248,seals,wires,0,0,All the seals and wires need to be removed first before the gadgets can be fixed.,3,1,0,seals and wires,seals,wires,1,2
249,self-aggrandisement,self-confidence,0,0,The businessman's speech was so full of self-aggrandisement and self-confidence that some of the audience left the room halfway through.,8,1,0,self-aggrandisement and self-confidence,self-aggrandisement,self-confidence,1,1
250,self-indulgence,softness,0,0,The president knew very well that self-indulgence and softness was not going to be a successful strategy,7,1,0,self-indulgence and softness,self-indulgence,softness,1,2
251,sky,wasteland,0,0,The photographer positioned the model against the background of sky and wasteland for an ideal picture.,10,1,0,sky and wasteland,sky,wasteland,1,1
252,song,tears,362,0.6104972376,I remember my grandmother's song and tears at my grandfather's funeral.,5,1,221,song and tears,song,tears,1,2
254,sprains,swellings,191,0.5392670157,It is said that for sprains and swellings one pint of cider vinegar added to three beaten eggs can give speedy relief.,6,1,103,sprains and swellings,sprains,swellings,1,1
255,stalls,urinals,133,0.6090225564,By counting the number of stalls and urinals I attempted to form a loose estimate of how many men the hall would hold at one time.,6,1,81,stalls and urinals,stalls,urinals,1,2
256,starvation,tuberculosis,117,0.6495726496,Mrs. Hull died of starvation and tuberculosis before receiving a visit from her son.,5,1,76,starvation and tuberculosis,starvation,tuberculosis,1,1
263,usefulness,viability,412,0.3373786408,"For the first time in the country's history, the usefulness and viability of nationalism came into question.",10,1,139,usefulness and viability,usefulness,viability,1,2
264,vitality,will,999,0.7777777778,Terror had sapped some of Anne's vitality and will so she was left frozen in the moment.,7,1,777,vitality and will,vitality,will,1,1
265,aunts,uncles,114866,0.6316229345,The family reunion had all the aunts and uncles together in one room.,7,1,72551.99999,aunts and uncles,aunts,uncles,1,2
266,back,shoulders,63372,0.6295367039,Anthony got his back and shoulders adjusted by the chiropractor.,4,1,39895,back and shoulders,back,shoulders,1,1
267,bacon,eggs,86914,0.6438318338,"On the days Lilly doesn't have work, she makes bacon and eggs for breakfast and reads the paper.",10,1,55958,bacon and eggs,bacon,eggs,1,2
268,bar,grill,40757,0.9625831146,We went to a bar and grill in the city last night.,5,1,39232,bar and grill,bar,grill,1,1
269,barley,oats,27431,0.4298056943,Susanne prepared barley and oats for breakfast everyday for a week.,3,1,11790,barley and oats,barley,oats,1,2
270,barrels,boxes,12973,0.3705388114,There were a lot of barrels and boxes that needed to be moved before the event could start.,6,1,4807,barrels and boxes,barrels,boxes,1,1
272,beauty,truth,77484,0.3256930463,I decided that beauty and truth would be the major themes of the poem I was writing.,4,1,25236,beauty and truth,beauty,truth,1,2
273,beauty,youth,65503,0.1011556723,The serum promised beauty and youth to everyone who used it.,4,1,6626.000003,beauty and youth,beauty,youth,1,1
274,being,existence,12923,0.5259614641,The girl questioned her being and existence when she went to her last therapy session.,5,1,6797.000001,being and existence,being,existence,1,2
275,belly,chest,14929,0.2288833813,"Zack said his belly and chest were hurting, so his mom took him to the hospital.",4,1,3416.999999,belly and chest,belly,chest,1,1
277,blood,flesh,556220,0.02639603035,Although Rhonda was not Nick's blood and flesh he considered her part of his family.,6,1,14682,blood and flesh,blood,flesh,1,2
278,blood,guts,19009,0.9607554316,The film showed blood and guts which made them very uncomfortable.,4,1,18263,blood and guts,blood,guts,1,1
281,body,face,97417,0.1736247267,"After visiting many stores, Ann finally found a body and face sunscreen that worked well for her skin.",9,1,16914,body and face,body,face,1,2
282,body,head,172950,0.1511419485,"When drawing people, Suzanne struggles with sketching the body and head because she can never get the proportions right.",9,1,26139.99999,body and head,body,head,1,1
283,body,mind,820530,0.4173046689,She talked about the importance of keeping your body and mind super healthy and strong.,9,1,342411,body and mind,body,mind,1,2
284,bone,flesh,72784,0.2187980875,"After a hard fall, you could see the bone and flesh of the basketball player's leg.",9,1,15925,bone and flesh,bone,flesh,1,1
285,bone,muscle,59672,0.5633462931,The doctor studied the bone and muscle of the patient's injured leg.,5,1,33616,bone and muscle,bone,muscle,1,2
286,bones,skulls,19232,0.3933548253,Scientists study the bones and skulls of long-extinct animal species.,4,1,7565,bones and skulls,bones,skulls,1,1
287,boots,shoes,81005,0.837170545,My suitcase was full of boots and shoes which made it exceed the weight limit.,6,1,67815,boots and shoes,boots,shoes,1,2
288,boys,girls,1835429,0.8825195635,The teacher separated the boys and girls into two groups.,5,1,1619802,boys and girls,boys,girls,1,1
291,bread,cheese,105642,0.8957800875,Xavier brought bread and cheese to the potluck at the beach.,3,1,94632,bread and cheese,bread,cheese,1,2
292,breakfast,dinner,53396,0.9091504982,Molly decided that breakfast and dinner are her favorite meals of the day.,4,1,48545,breakfast and dinner,breakfast,dinner,1,1
293,bride,groom,204540,0.9693702943,I think that the bride and groom are very excited about the upcoming wedding.,5,1,198275,bride and groom,bride,groom,1,2
295,brother,sister,492450,0.8382719058,Paul wants to spend time with his brother and sister because he doesn't get to see them very often.,8,1,412807,brother and sister,brother,sister,1,1
296,brothers,sisters,1102312,0.9142402514,When we were younger my brothers and sisters wanted a Beagle puppy.,6,1,1007778,brothers and sisters,brothers,sisters,1,2
297,brush,trees,35404,0.3333239182,Amanda loved all the brush and trees that surrounded her house.,5,1,11801,brush and trees,brush,trees,1,1
299,cattle,horses,164491,0.494671441,"On the ranch, there are cattle and horses roaming around the green pastures.",6,1,81369,cattle and horses,cattle,horses,1,2
301,cause,effect,679208,0.9893920566,"Ryan was uncertain about the cause and effect of inflation, so he did some research about it online.",6,1,672003,cause and effect,cause,effect,1,1
304,chair,table,34607,0.3391799347,They noticed that the chair and table were knocked over after the earthquake.,5,1,11738,chair and table,chair,table,1,2
307,characters,situations,32957,0.8178839093,Cheryl considered the characters and situations in the novel she was writing.,4,1,26955,characters and situations,characters,situations,1,1
308,charts,maps,51057,0.2401237832,Dr. Morganstern took out his charts and maps in order to document where he found the last fossil.,6,1,12260,charts and maps,charts,maps,1,2
310,child,husband,20834,0.09911682826,Rachel lived with her child and husband in a small apartment in New York City.,5,1,2065,child and husband,child,husband,1,1
311,child,wife,166893,0.02212795024,Bill wanted to take his child and wife on a tropical vacation.,6,1,3692.999999,child and wife,child,wife,1,2
313,choice,decision,11325,0.7605298013,It was her choice and decision to stay home for the summer instead of traveling through South America.,4,1,8613,choice and decision,choice,decision,1,1
315,city,country,106397,0.7849751403,Her love for her city and country made her want to get into politics.,5,1,83519,city and country,city,country,1,2
321,coat,hat,132073,0.4387119245,"Once she stepped through the door, she designated a spot for her coat and hat to be safely put away.",13,1,57942,coat and hat,coat,hat,1,1
323,coffee,toast,19739,0.4575206444,Every morning Karen has coffee and toast for breakfast before school.,5,1,9031,coffee and toast,coffee,toast,1,2
324,college,school,301287,0.02764473741,Matt said that college and school are not worth his time.,4,1,8329,college and school,college,school,1,1
325,college,university,296202,0.891962242,Carlos talked about college and university with his school counselor.,4,1,264201,college and university,college,university,1,2
326,color,light,83699,0.3201710893,Rob used a lot of color and light to make his photographs pop.,6,1,26798,color and light,color,light,1,1
328,colors,forms,31064,0.3418426474,They read a whole chapter on colors and forms in her art class.,7,1,10619,colors and forms,colors,forms,1,2
332,concrete,steel,83832,0.4510330184,The company got a new shipment of concrete and steel for an upcoming project.,8,1,37811,concrete and steel,concrete,steel,1,1
333,confusion,fear,27042,0.3863619555,They felt confusion and fear about what they would do after graduating.,3,1,10448,confusion and fear,confusion,fear,1,2
334,confusion,turmoil,11154,0.3482158867,Hannah felt confusion and turmoil after her mom gave her some unfortunate news.,3,1,3884,confusion and turmoil,confusion,turmoil,1,1
336,contemporary,friend,13050,0.5211494253,I learned that my professor was a contemporary and friend of a famous poet.,8,1,6801,contemporary and friend,contemporary,friend,1,2
340,council,governor,100783,0.01141065457,She wanted to meet with both the council and governor to discuss some ideas she had.,8,1,1150,council and governor,council,governor,1,1
341,counties,towns,26566,0.4343898216,Fred drove through many counties and towns to move to his new house.,5,1,11540,counties and towns,counties,towns,1,2
342,courage,hope,37808,0.4317340245,It took courage and hope to overcome what she had been through.,3,1,16323,courage and hope,courage,hope,1,1
347,crime,punishment,131945,0.9885937322,The jury needed to consider the crime and punishment before coming to a final decision.,7,1,130440,crime and punishment,crime,punishment,1,2
349,crops,livestock,41356,0.8806702776,All of the crops and livestock needed a lot of water to survive.,4,1,36421,crops and livestock,crops,livestock,1,1
354,daughter,son,190092,0.2435031458,"With the holidays approaching, the daughter and son needed to shop for presents for their parents.",6,1,46287.99999,daughter and son,daughter,son,1,2
357,days,years,31764,0.8792973177,It had been days and years since Molly had seen her cousins.,4,1,27930,days and years,days,years,1,1
358,death,life,1142991,0.0619278717,It is hard to tell the difference between death and life when you are in purgatory.,9,1,70783,death and life,death,life,1,2
359,debate,discussion,59247,0.3081843806,"During class, there was debate and discussion surrounding the controversial current event.",5,1,18259,debate and discussion,debate,discussion,1,1
366,discussion,thought,24358,0.0763198949,A lot of discussion and thought went into making the decision to buy this house.,4,1,1859,discussion and thought,discussion,thought,1,2
369,doorways,windows,14085,0.4975505857,Bill wanted to fix the doorways and windows before moving into the new home.,6,1,7008,doorways and windows,doorways,windows,1,1
371,dreams,plans,11614,0.4828655071,She had dreams and plans to become a successful scientist.,3,1,5607.999999,dreams and plans,dreams,plans,1,2
372,ears,eyes,304481,0.1289834177,"Cleo said that her ears and eyes were bothering her, so she stayed home from work.",5,1,39273,ears and eyes,ears,eyes,1,1
375,editor,publisher,125503,0.8418683219,"In order to finalize all the details, the editor and publisher wanted to have a meeting with the author of the book.",9,1,105657,editor and publisher,editor,publisher,1,2
376,education,skill,10876,0.7269216624,They had the education and skill to be a great professor.,4,1,7906,education and skill,education,skill,1,1
377,effort,resources,12297,0.7416443035,It would take a lot of effort and resources to put on this fundraiser.,7,1,9120,effort and resources,effort,resources,1,2
378,eggs,ham,59981,0.1829079208,All she wanted to eat was eggs and ham but she didn't have either item in her refrigerator.,7,1,10971,eggs and ham,eggs,ham,1,1
379,elbows,knees,48397,0.4986879352,I hurt my elbows and knees when I fell off my longboard.,4,1,24135,elbows and knees,elbows,knees,1,2
381,energy,money,31490,0.5265163544,Alice said that all of the energy and money that her car needed made her want to sell it.,7,1,16580,energy and money,energy,money,1,1
384,error,trial,454209,0.0004865601518,They dealt with a lot of error and trial before having a final product.,7,1,221,error and trial,error,trial,1,2
